縣市,統計期,業者名稱,類別,基地臺
彰化縣,1150731,中華電信股份有限公司,5G,1336
彰化縣,1150731,台灣大哥大股份有限公司,4G,777
臺中市,1150731,台灣大哥大股份有限公司,4G,2479
臺中市,1150731,台灣大哥大股份有限公司,5G,2809
臺中市,1150731,中華電信股份有限公司,5G,3006
臺中市,1150731,中華電信股份有限公司,4G,2761
臺中市,1150731,遠傳電信股份有限公司,5G,2710
臺中市,1150731,遠傳電信股份有限公司,4G,2418
臺北市,1150731,中華電信股份有限公司,4G,2112
臺北市,1150731,遠傳電信股份有限公司,5G,2342
臺北市,1150731,中華電信股份有限公司,5G,2743
臺北市,1150731,台灣大哥大股份有限公司,5G,2214
臺北市,1150731,台灣大哥大股份有限公司,4G,1863
臺北市,1150731,遠傳電信股份有限公司,4G,2247
臺東縣,1150731,台灣大哥大股份有限公司,5G,289
臺東縣,1150731,中華電信股份有限公司,5G,426
臺東縣,1150731,遠傳電信股份有限公司,4G,358
臺東縣,1150731,中華電信股份有限公司,4G,523
臺東縣,1150731,台灣大哥大股份有限公司,4G,394
臺東縣,1150731,遠傳電信股份有限公司,5G,296
臺南市,1150731,遠傳電信股份有限公司,5G,1463
臺南市,1150731,台灣大哥大股份有限公司,4G,1447
臺南市,1150731,中華電信股份有限公司,4G,1942
臺南市,1150731,遠傳電信股份有限公司,4G,1156
臺南市,1150731,中華電信股份有限公司,5G,1752
臺南市,1150731,台灣大哥大股份有限公司,5G,1696
澎湖縣,1150731,中華電信股份有限公司,5G,172
澎湖縣,1150731,遠傳電信股份有限公司,4G,123
澎湖縣,1150731,台灣大哥大股份有限公司,4G,128
澎湖縣,1150731,中華電信股份有限公司,4G,181
澎湖縣,1150731,台灣大哥大股份有限公司,5G,125
澎湖縣,1150731,遠傳電信股份有限公司,5G,123
宜蘭縣,1150630,遠傳電信股份有限公司,5G,596
宜蘭縣,1150630,台灣大哥大股份有限公司,4G,506
宜蘭縣,1150630,中華電信股份有限公司,4G,759
宜蘭縣,1150630,中華電信股份有限公司,5G,819
宜蘭縣,1150630,遠傳電信股份有限公司,4G,481
宜蘭縣,1150630,台灣大哥大股份有限公司,5G,552
花蓮縣,1150630,台灣大哥大股份有限公司,4G,486
花蓮縣,1150630,遠傳電信股份有限公司,4G,541
花蓮縣,1150630,遠傳電信股份有限公司,5G,689
花蓮縣,1150630,台灣大哥大股份有限公司,5G,611
花蓮縣,1150630,中華電信股份有限公司,4G,799
花蓮縣,1150630,中華電信股份有限公司,5G,769
金門縣,1150630,台灣大哥大股份有限公司,4G,80
金門縣,1150630,中華電信股份有限公司,5G,231
金門縣,1150630,中華電信股份有限公司,4G,392
金門縣,1150630,遠傳電信股份有限公司,4G,125
金門縣,1150630,遠傳電信股份有限公司,5G,67
金門縣,1150630,台灣大哥大股份有限公司,5G,78
南投縣,1150630,遠傳電信股份有限公司,5G,695
南投縣,1150630,遠傳電信股份有限公司,4G,571
南投縣,1150630,台灣大哥大股份有限公司,5G,542
南投縣,1150630,台灣大哥大股份有限公司,4G,618
