"Ministry","Area","Agency","Name","Address","Administration","Latitude","Longitude"
"內政部","高雄市","內政部國家公園署國家自然公園管理處","高雄都會公園遊客中心","811高雄市楠梓區德民路24號","旅遊景點","22.7302720","120.3146820"
"內政部國家公園署","花蓮縣","太魯閣國家公園管理處","天祥管理站","972花蓮縣秀林鄉天祥22號-3","旅遊景點","24.1844450","121.4959850"
"內政部國家公園署","花蓮縣","太魯閣國家公園管理處","太魯閣遊客中心","972花蓮縣秀林鄉富世291號","旅遊景點","24.1573360","121.6216140"
"內政部國家公園署","花蓮縣","太魯閣國家公園管理處","布洛灣管理站","972花蓮縣秀林鄉富世232號-1","旅遊景點","24.1480637","121.6284485"
"內政部國家公園署","南投縣","太魯閣國家公園管理處","合歡山管理站","546南投縣仁愛鄉榮星村松原巷11號","旅遊景點","24.1622310","121.2873110"
"內政部","南投縣","內政部國家公園署玉山國家公園管理處","玉山國家公園水里遊客中心","553南投縣水里鄉中山路一段515號","旅遊景點","23.8133290","120.8505000"
"內政部","高雄市","內政部國家公園署玉山國家公園管理處","玉山國家公園梅山遊客中心","848高雄市桃源區梅山巷44-5號","旅遊景點","23.2630560","120.8261820"
"內政部","花蓮縣","內政部國家公園署玉山國家公園管理處","南安遊客中心","982花蓮縣卓溪鄉卓清村83-3號","旅遊景點","23.3027490","121.2585480"
"內政部","南投縣","內政部國家公園署玉山國家公園管理處","玉山國家公園排雲登山服務中心","556南投縣信義鄉同富村太平巷151號","旅遊景點","23.4817700","120.8869830"
"內政部","南投縣","內政部國家公園署玉山國家公園管理處","塔塔加遊客中心","556南投縣信義鄉同富村太平巷118號","旅遊景點","23.4874510","120.8916650"
"內政部","臺北市","內政部國土管理署城鄉發展分署","內政部營建署城鄉發展分署2、3樓","105臺北市松山區八德路二段342號北棟2樓","洽公場所","25.0476340","121.5446820"
"內政部","臺北市","內政部國土管理署城鄉發展分署","內政部營建署城鄉發展分署4、5樓","105臺北市松山區八德路二段342號北棟4樓","洽公場所","25.0476340","121.5446820"
"內政部","高雄市","內政部國家公園署海洋國家公園管理處","內政部國家公園署海洋國家公園管理處","811高雄市楠梓區德民路26號","洽公場所","22.7326839","120.3168551"
"內政部","高雄市","內政部國家公園署海洋國家公園管理處","內政部國家公園署海洋國家公園管理處","811高雄市楠梓區德民路26號","洽公場所","22.7326839","120.3168551"
"內政部","高雄市","內政部國家公園署海洋國家公園管理處","內政部國家公園署海洋國家公園管理處","811高雄市楠梓區德民路26號","洽公場所","22.7326839","120.3168551"
"內政部","苗栗縣","雪霸國家公園管理處","雪霸國家公園管理處汶水遊客中心","364苗栗縣大湖鄉富興村水尾坪100號(遊客中心)","旅遊景點","24.4500990","120.8781590"
"內政部","新北市","陽明山國家公園管理處","二子坪遊客服務站","252新北市三芝區新華里車埕53-3號","旅遊景點","25.2370456","121.5255815"
"內政部","臺北市","陽明山國家公園管理處","陽明山國家公園遊客中心","112臺北市北投區陽明山竹子湖路1-20號","旅遊景點","25.1557350","121.5476790"
"內政部","臺北市","陽明山國家公園管理處","陽明山國家公園管理處","112臺北市北投區陽明山竹子湖路1-20號","洽公場所","25.1616780","121.5477560"
"內政部","臺北市","陽明山國家公園管理處","擎天崗遊客服務站","111臺北市士林區菁山路101巷246號","旅遊景點","25.1671830","121.5742140"
"內政部","臺北市","內政部警政署","內政部警政署","100臺北市中正區忠孝東路一段7號","洽公場所","25.0452613","121.5225288"
"內政部","臺北市","內政部警政署警察廣播電臺","內政部警政署警察廣播電臺服務中心","100臺北市中正區廣州街17號","洽公場所","25.0360308","121.5075516"
"外交部","臺北市","外交部","外交部1樓會客室","100臺北市中正區凱達格蘭大道2號1樓","洽公場所","25.0389470","121.5163460"
"外交部","臺中市","外交部領事事務局中部辦事處","外交部領事事務局中部辦事處(1樓大廳)","408臺中市南屯區黎明路二段503號1樓","洽公場所","24.1555580","120.6338540"
"外交部","花蓮縣","外交部領事事務局東部辦事處","外交部領事事務局東部辦事處(6樓大廳)","970花蓮縣花蓮市中山路371號6樓","洽公場所","23.9814300","121.6057930"
"外交部","高雄市","外交部領事事務局南部辦事處","外交部領事事務局南部辦事處(大廳)","802高雄市苓雅區政南街6號3~4樓","洽公場所","22.6247110","120.3331557"
"外交部","臺北市","外交部領事事務局","外交部領事事務局(3樓大廳)","100臺北市中正區濟南路一段2-2號3樓","洽公場所","25.0426814","121.5201116"
"交通部","臺南市","中華郵政股份有限公司","七股郵局","724臺南市七股區大埕村296號","洽公場所","23.1410300","120.1459400"
"交通部","澎湖縣","中華郵政股份有限公司","七美郵局","883澎湖縣七美鄉海豐村10鄰19號","洽公場所","23.2053950","119.4257950"
"交通部","屏東縣","中華郵政股份有限公司","九如郵局","904屏東縣九如鄉東寧路190號","洽公場所","22.7337400","120.4903430"
"交通部","彰化縣","中華郵政股份有限公司","二水郵局","530彰化縣二水鄉二水村員集路三段741號","洽公場所","23.8108880","120.6154150"
"交通部","彰化縣","中華郵政股份有限公司","二林郵局","526彰化縣二林鎮中正路1號","洽公場所","23.8992390","120.3694680"
"交通部","彰化縣","中華郵政股份有限公司","二林萬興郵局","526彰化縣二林鎮永興里二溪路六段290號","洽公場所","23.9546260","120.4228750"
"交通部","雲林縣","中華郵政股份有限公司","二崙油車郵局","649雲林縣二崙鄉油車村文化路260號","洽公場所","23.7953740","120.3845100"
"交通部","雲林縣","中華郵政股份有限公司","二崙郵局","649雲林縣二崙鄉崙東村中山路一段178號","洽公場所","23.7712850","120.4149880"
"交通部","新北市","中華郵政股份有限公司","八里郵局","249新北市八里區訊塘路13號","洽公場所","25.1448440","121.3978880"
"交通部","新北市","中華郵政股份有限公司","八里龍形郵局","249新北市八里區龍形二街7號","洽公場所","25.1311660","121.4505490"
"交通部","桃園市","中華郵政股份有限公司","八德大湳郵局","334桃園市八德區介壽路一段842號","洽公場所","24.9611800","121.2994920"
"交通部","桃園市","中華郵政股份有限公司","八德更寮腳郵局","334桃園市八德區介壽路二段1030號","洽公場所","24.9329140","121.2972880"
"交通部","桃園市","中華郵政股份有限公司","八德高城郵局","334桃園市八德區永豐路581號","洽公場所","24.9753680","121.2714520"
"交通部","桃園市","中華郵政股份有限公司","八德麻園郵局","334桃園市八德區大和村介壽路二段298號","洽公場所","24.9496550","121.2974860"
"交通部","桃園市","中華郵政股份有限公司","八德郵局","334桃園市八德區建國路18號","洽公場所","24.9309970","121.2849330"
"交通部","屏東縣","中華郵政股份有限公司","三地門郵局","901屏東縣三地門鄉三地村行政街3號","洽公場所","22.7146570","120.6533390"
"交通部","新北市","中華郵政股份有限公司","三芝郵局","252新北市三芝區淡金路二段17號","洽公場所","25.2593380","121.5027010"
"交通部","宜蘭縣","中華郵政股份有限公司","三星郵局","266宜蘭縣三星鄉太平路134號","洽公場所","24.6666420","121.6530260"
"交通部","新北市","中華郵政股份有限公司","三重二重埔郵局","241新北市三重區光復路一段140號","洽公場所","25.0529120","121.4718980"
"交通部","新北市","中華郵政股份有限公司","三重中山路郵局","241新北市三重區新北大道一段17號","洽公場所","25.0614849","121.4877388"
"交通部","新北市","中華郵政股份有限公司","三重中正路郵局","241新北市三重區三民街213號","洽公場所","25.0665160","121.4820890"
"交通部","新北市","中華郵政股份有限公司","三重中興橋郵局","241新北市三重區成功路52-2號","洽公場所","25.0504460","121.4887340"
"交通部","新北市","中華郵政股份有限公司","三重五常郵局","241新北市三重區仁義街168號","洽公場所","25.0810540","121.4968900"
"交通部","新北市","中華郵政股份有限公司","三重介壽路郵局","241新北市三重區介壽路5號","洽公場所","25.0691630","121.4991780"
"交通部","新北市","中華郵政股份有限公司","三重正義郵局","241新北市三重區正義南路10號","洽公場所","25.0615670","121.4981810"
"交通部","新北市","中華郵政股份有限公司","三重忠孝路郵局","241新北市三重區忠孝路一段6-2號","洽公場所","25.0716190","121.4922930"
"交通部","新北市","中華郵政股份有限公司","三重溪尾街郵局","241新北市三重區溪尾街112號","洽公場所","25.0789610","121.4893640"
"交通部","新北市","中華郵政股份有限公司","三峽大埔郵局","237新北市三峽區中正路二段269號","洽公場所","24.9115860","121.3661440"
"交通部","新北市","中華郵政股份有限公司","三峽中山郵局","237新北市三峽區中山路11號","洽公場所","24.9341510","121.3696170"
"交通部","新北市","中華郵政股份有限公司","三峽郵局","237新北市三峽區民生路66號","洽公場所","24.9359970","121.3746620"
"交通部","新北市","中華郵政股份有限公司","三峽橫溪郵局","237新北市三峽區溪北里介壽路三段47號","洽公場所","24.9373180","121.3955440"
"交通部","苗栗縣","中華郵政股份有限公司","三義郵局","367苗栗縣三義鄉中正路101號","洽公場所","24.4142830","120.7725630"
"交通部","苗栗縣","中華郵政股份有限公司","三灣郵局","352苗栗縣三灣鄉中正路310號","洽公場所","24.6566260","120.9588940"
"交通部","臺南市","中華郵政股份有限公司","下營中營郵局","735臺南市下營區中營村893號","洽公場所","23.2206310","120.2714640"
"交通部","臺南市","中華郵政股份有限公司","下營郵局","735臺南市下營區慈惠街129號","洽公場所","23.2360190","120.2664940"
"交通部","雲林縣","中華郵政股份有限公司","口湖植梧郵局","653雲林縣口湖鄉梧北村光明路36號","洽公場所","23.5463610","120.1912700"
"交通部","雲林縣","中華郵政股份有限公司","口湖郵局","653雲林縣口湖鄉湖東村廟前街26號","洽公場所","23.5857790","120.1828540"
"交通部","新北市","中華郵政股份有限公司","土城平和郵局","236新北市土城區金城路三段185號","洽公場所","24.9889970","121.4696500"
"交通部","新北市","中華郵政股份有限公司","土城青雲郵局","236新北市土城區金城路二段249號","洽公場所","24.9849265","121.4578743"
"交通部","新北市","中華郵政股份有限公司","土城清水郵局","236新北市土城區青雲路228、230號","洽公場所","24.9809580","121.4589430"
"交通部","新北市","中華郵政股份有限公司","土城貨饒郵局","236新北市土城區中央路一段240號","洽公場所","24.9849870","121.4445770"
"交通部","新北市","中華郵政股份有限公司","土城郵局","236新北市土城區員福里中央路二段160號","洽公場所","24.9766510","121.4417520"
"交通部","新北市","中華郵政股份有限公司","土城學府郵局","236新北市土城區明德路二段58號","洽公場所","24.9852020","121.4487930"
"交通部","雲林縣","中華郵政股份有限公司","土庫馬光郵局","633雲林縣土庫鎮馬光路177-5號","洽公場所","23.7052060","120.3531550"
"交通部","雲林縣","中華郵政股份有限公司","土庫郵局","633雲林縣土庫鎮大同路65號","洽公場所","23.6761490","120.3949420"
"交通部","臺北市","中華郵政股份有限公司","士林中正路郵局","111臺北市士林區中正路420號","洽公場所","25.0935053","121.5195942"
"交通部","臺北市","中華郵政股份有限公司","士林天母郵局","111臺北市士林區中山北路七段130號","洽公場所","25.1226571","121.5321676"
"交通部","臺北市","中華郵政股份有限公司","士林文化大學郵局","111臺北市士林區華岡路55號","洽公場所","25.1377176","121.5410056"
"交通部","臺北市","中華郵政股份有限公司","士林外雙溪郵局","111臺北市士林區明溪街15號","洽公場所","25.1070000","121.5652040"
"交通部","臺北市","中華郵政股份有限公司","士林名山里郵局","111臺北市士林區至誠路二段70號","洽公場所","25.1017472","121.5283279"
"交通部","臺北市","中華郵政股份有限公司","士林社子郵局","111臺北市士林區延平北路五段150號","洽公場所","25.0824998","121.5104478"
"交通部","臺北市","中華郵政股份有限公司","士林社新里郵局","111臺北市士林區延平北路六段197號","洽公場所","25.0893780","121.5058470"
"交通部","臺北市","中華郵政股份有限公司","士林芝山郵局","111臺北市士林區德行東路258號","洽公場所","25.1097299","121.5343372"
"交通部","臺北市","中華郵政股份有限公司","士林後港郵局","111臺北市士林區福港街149巷2號","洽公場所","25.0874590","121.5181720"
"交通部","臺北市","中華郵政股份有限公司","士林郵局","111臺北市士林區文林路162號","洽公場所","25.0891770","121.5268704"
"交通部","臺北市","中華郵政股份有限公司","士林劍潭郵局","111臺北市士林區基河路14號","洽公場所","25.0817353","121.5239063"
"交通部","臺北市","中華郵政股份有限公司","士林蘭雅郵局","111臺北市士林區忠誠路一段52號","洽公場所","25.1046156","121.5268735"
"交通部","臺南市","中華郵政股份有限公司","大內郵局","742臺南市大內區大內村7-2號","洽公場所","23.1206350","120.3637280"
"交通部","臺中市","中華郵政股份有限公司","大甲日南郵局","437臺中市大甲區孟春里中山路二段233號","洽公場所","24.3812730","120.6551420"
"交通部","臺中市","中華郵政股份有限公司","大甲幼獅郵局","437臺中市大甲區幼獅路45號","洽公場所","24.4053010","120.6520380"
"交通部","臺中市","中華郵政股份有限公司","大甲庄美郵局","437臺中市大甲區經國路768號","洽公場所","24.3547740","120.6192200"
"交通部","臺中市","中華郵政股份有限公司","大甲郵局","437臺中市大甲區新政路1號","洽公場所","24.3475900","120.6272370"
"交通部","臺中市","中華郵政股份有限公司","大甲廟口郵局","437臺中市大甲區順天里9鄰順天路159號","洽公場所","24.3451230","120.6222580"
"交通部","宜蘭縣","中華郵政股份有限公司","大同郵局","267宜蘭縣大同鄉崙埤村泰雅路一段58號","洽公場所","24.6757790","121.6096280"
"交通部","臺中市","中華郵政股份有限公司","大安郵局","439臺中市大安區中山南路343號","洽公場所","24.3466237","120.5860467"
"交通部","彰化縣","中華郵政股份有限公司","大村郵局","515彰化縣大村鄉大溪路2號","洽公場所","23.9941030","120.5448340"
"交通部","臺中市","中華郵政股份有限公司","大肚郵局","432臺中市大肚區沙田路二段666號","洽公場所","24.1512378","120.5453278"
"交通部","臺中市","中華郵政股份有限公司","大肚福山郵局","432臺中市大肚區福山村沙田路一段564-5號","洽公場所","24.1175480","120.5797260"
"交通部","臺中市","中華郵政股份有限公司","大肚蔗部郵局","432臺中市大肚區遊園路二段65、67號","洽公場所","24.1703890","120.5795890"
"交通部","臺中市","中華郵政股份有限公司","大里永隆郵局","412臺中市大里區永隆一街82號","洽公場所","24.0995780","120.6787340"
"交通部","臺中市","中華郵政股份有限公司","大里仁化郵局","412臺中市大里區至善路30號","洽公場所","24.0934090","120.7032840"
"交通部","臺中市","中華郵政股份有限公司","大里草湖郵局","412臺中市大里區中興路一段298-3號","洽公場所","24.0916679","120.6914172"
"交通部","臺中市","中華郵政股份有限公司","大里郵局","412臺中市大里區中興路二段212號","洽公場所","24.1030180","120.6887810"
"交通部","嘉義縣","中華郵政股份有限公司","大林中山路郵局","622嘉義縣大林鎮中山路232號","洽公場所","23.6060130","120.4561390"
"交通部","嘉義縣","中華郵政股份有限公司","大林郵局","622嘉義縣大林鎮吉林里平和街28-1號","洽公場所","23.6026080","120.4568290"
"交通部","臺東縣","中華郵政股份有限公司","大武郵局","965臺東縣大武鄉大武村大武街60號","洽公場所","22.3570520","120.9044230"
"交通部","高雄市","中華郵政股份有限公司","大社郵局","815高雄市大社區自強街9號","洽公場所","22.7311770","120.3470950"
"交通部","彰化縣","中華郵政股份有限公司","大城郵局","527彰化縣大城鄉大城村北平路35號","洽公場所","23.8560460","120.3215830"
"交通部","嘉義縣","中華郵政股份有限公司","大埔郵局","607嘉義縣大埔鄉大埔村262號-1","洽公場所","23.2993040","120.5935980"
"交通部","雲林縣","中華郵政股份有限公司","大埤郵局","631雲林縣大埤鄉中山路6號","洽公場所","23.6455870","120.4319210"
