LTE,466,92,11101,54235671,0,121.5254,25.0854,1000,8,1,1415611373,1754115550,0
LTE,466,92,11101,54497569,0,121.5275,25.0895,1000,11,1,1415611392,1754115550,0
LTE,466,97,22210,26630768,0,121.5525,25.0724,1000,18,1,1417735900,1754445784,0
LTE,466,97,44210,188160625,0,120.2584,23.2583,2645,14,1,1425864674,1760320866,0
LTE,466,97,44210,188160879,0,120.2538,23.2494,823,28,1,1425864734,1760320866,0
LTE,466,97,44210,186880369,0,120.2655,23.2629,1000,7,1,1425864794,1760320872,0
LTE,466,97,44210,186883185,0,120.2682,23.2755,1000,13,1,1425864865,1760320866,0
LTE,466,97,44210,186881393,0,120.2892,23.2991,1864,17,1,1425864914,1760501406,0
LTE,466,97,44210,186880624,0,120.2848,23.2976,1000,14,1,1425864974,1760501342,0
LTE,466,97,44210,186881391,0,120.2913,23.3077,1000,12,1,1425865185,1760501342,0
LTE,466,97,44210,186882672,0,120.288,23.2999,784,27,1,1425865304,1760501405,0
LTE,466,97,44210,186883184,0,120.2757,23.2763,1028,23,1,1425865844,1760501405,0
LTE,466,97,44210,188674416,0,120.2761,23.2921,1000,19,1,1425868025,1760501405,0
LTE,466,92,12700,29974561,0,121.425,24.9921,1051,3,1,1435275847,1750959783,0
LTE,466,92,13201,28825633,0,121.375,25.0648,5429,5,1,1437043171,1786038482,0
LTE,466,92,13201,28561175,0,121.3659,25.0633,1678,19,1,1437132782,1786038482,0
LTE,466,92,13201,81407245,0,121.3614,25.0635,2276,29,1,1437132794,1786038482,0
LTE,466,92,36400,157866519,0,120.3417,23.3386,3054,25,1,1446020988,1754115490,0
UMTS,466,92,10454,29768003,371,120.8437,24.1912,4781,50,1,1446116489,1746739989,0
LTE,466,97,22230,62208879,0,121.3942,25.062,1000,11,1,1447672125,1780016944,0
LTE,466,97,22230,62208368,0,121.4086,25.0574,1993,31,1,1447691972,1780016944,0
LTE,466,97,22230,62210927,0,121.42,25.0644,1000,22,1,1447692032,1780016945,0
LTE,466,92,11100,54354465,0,121.5311,25.0437,1000,8,1,1447995568,1786110721,0
LTE,466,92,24101,107408673,0,120.6573,24.1509,1000,3,1,1455214111,1746739931,0
LTE,466,92,11200,54870039,0,121.5448,25.0162,1000,10,1,1455635622,1786246502,0
LTE,466,92,11200,54870049,0,121.5414,25.0142,1000,17,1,1455635622,1786246502,0
LTE,466,92,11200,55318039,0,121.5385,25.013,1000,12,1,1455635623,1786181821,0
LTE,466,92,11200,54870029,0,121.5433,25.0162,1000,19,1,1455635623,1786246502,0
LTE,466,92,11200,55373581,0,121.5379,25.0123,500,42,1,1455635623,1786181821,0
LTE,466,92,13500,81548321,0,121.222,24.8665,500,50,1,1455635623,1768723565,0
LTE,466,92,11200,55318029,0,121.5496,25.0146,3713,10,1,1455635622,1786181821,0
LTE,466,92,11200,55318049,0,121.5406,25.0149,1000,9,1,1455635622,1786181821,0
LTE,466,92,13201,79831329,0,121.38,25.0506,1491,33,1,1457790778,1786038483,0
LTE,466,92,11200,55345175,0,121.5432,25.0253,863,50,1,1457790777,1750959785,0
LTE,466,92,11200,54314775,0,121.544,25.024,500,34,1,1457790777,1750959785,0
LTE,466,92,11200,54314785,0,121.542,25.0246,1000,23,1,1457790777,1750959785,0
LTE,466,92,13201,79831319,0,121.3866,25.0476,2197,50,1,1457790778,1786038483,0
LTE,466,92,12400,30696462,0,121.461,25.0091,500,50,1,1458575405,1768723446,0
LTE,466,92,12400,29974049,0,121.4532,25.0042,500,37,1,1458575404,1768723447,0
LTE,466,92,12400,29684770,0,121.4613,25.0119,1000,11,1,1458575403,1768723446,0
LTE,466,92,12300,29896481,0,121.4198,25.0343,1000,21,1,1458575399,1786038483,0
LTE,466,92,12500,28642584,0,121.515,25.0124,1000,21,1,1458575406,1768723446,0
LTE,466,92,12700,28662797,0,121.4242,24.9918,1128,16,1,1458575417,1750959783,0
LTE,466,92,12700,30694945,0,121.4128,24.9512,3681,50,1,1458575422,1783987922,0
LTE,466,92,12700,30694935,0,121.4203,24.9538,9278,16,1,1458575422,1783987922,0
LTE,466,92,12700,29443617,0,121.4331,24.9719,1164,37,1,1458575420,1768723447,0
LTE,466,92,13200,80191521,0,121.233,25.0752,1000,18,1,1458575435,1786538161,0
LTE,466,92,13200,80228621,0,121.1996,25.0714,1000,10,1,1458575435,1782478022,0
LTE,466,92,13200,81406231,0,121.1528,25.0361,4042,27,1,1458575437,1760143202,0
LTE,466,92,13201,79757345,0,121.3758,25.0551,1000,19,1,1458575439,1786038483,0
LTE,466,92,13200,81518103,0,121.232,25.0758,500,35,1,1458575437,1782751503,0
LTE,466,92,13200,79695649,0,121.2378,25.081,1000,12,1,1458575434,1782751504,0
LTE,466,92,13200,79830285,0,121.239,25.0784,500,29,1,1458575434,1760144884,0
LTE,466,92,13200,79834381,0,121.2374,25.0812,1000,21,1,1458575434,1760144884,0
LTE,466,92,13200,81517847,0,121.2331,25.0774,1000,24,1,1458575437,1786450141,0
LTE,466,92,13200,81518093,0,121.2311,25.0759,1946,15,1,1458575437,1786450141,0
LTE,466,92,13200,81754657,0,121.1688,25.0792,1000,23,1,1458575438,1782478022,0
LTE,466,92,13200,81685517,0,121.2634,25.0262,6075,50,1,1458575438,1782751503,0
LTE,466,92,13201,79761687,0,121.3722,25.0586,836,28,1,1458575439,1786038483,0
LTE,466,92,13200,79830049,0,121.2369,25.0798,1000,19,1,1458575434,1760144884,0
LTE,466,92,13200,81756449,0,121.2071,25.0607,1598,50,1,1458575438,1760144884,0
LTE,466,92,13200,81199639,0,121.235,25.0871,1000,21,1,1458575437,1760143201,0
LTE,466,92,13200,81668621,0,121.1615,25.0772,1002,9,1,1458575437,1782478022,0
LTE,466,92,13200,81581089,0,121.1872,25.0791,1000,19,1,1458575437,1782478022,0
LTE,466,92,13201,80219425,0,121.3752,25.0555,1431,18,1,1458575439,1786038483,0
LTE,466,92,13300,28499211,0,121.4082,24.8721,1000,4,1,1451643336,1783987923,0
LTE,466,92,13202,81763873,0,121.0231,24.987,1000,17,1,1458575443,1782478023,0
LTE,466,92,13202,81743905,0,121.1284,25.0699,1000,5,1,1458575443,1782478022,0
LTE,466,92,13200,81567511,0,121.2107,25.0493,1000,14,1,1458575437,1760144884,0
